x	y	z
0.687695563	-0.643284917	5.685956001
0.669445276	-0.684673667	5.697378159
0.59935981	-0.627489805	5.719311714
0.604875028	-0.615031242	5.710179329
0.565582514	-0.619397044	5.723059654
0.576071382	-0.609162211	5.706334114
0.571403086	-0.612908244	5.679304123
0.634953916	-0.610156178	5.68753624
0.654690504	-0.614892006	5.694381714
0.641912043	-0.630954623	5.703383446
0.59525162	-0.626807451	5.630921364
0.664554298	-0.759644985	5.06201458
-0.099679366	-0.477275848	5.813022614
0.591451883	-0.696418285	4.92240715
0.618904114	-0.70956111	4.917273521
0.631314278	-0.676526904	4.893901825
0.639756322	-0.677013397	4.456051826
0.627657115	-0.536842585	3.455020905
0.696701407	-0.752092123	4.828103065
0.662687421	-0.517899513	3.476997375
0.702457547	-0.504714727	3.49747467
0.69590807	-0.531690598	3.517271042
0.66438359	-0.821551442	5.959745407
0.684689999	-0.822393179	5.947332382
0.582369745	-0.737447262	4.946257591
0.66205126	-0.6606071	4.809815407
0.656496882	-0.730880022	4.801833153
0.576912045	-0.825060129	5.875974655
0.671632409	-0.856577277	6.006767273
0.66071713	-0.665407896	4.852507591
0.62063992	-0.821410298	5.92047596
0.57685113	-0.938099027	5.950166702
0.677251577	-0.627499223	4.865308762
0.593340158	-0.712266207	4.545668602
0.596690595	-0.725731134	4.518891335
0.369802594	-1.021848083	5.123633385
0.339804739	-0.997300506	5.10346508
0.416524798	-1.02150476	5.11790657
0.594814718	-0.686916471	4.509943962
0.553873897	-0.677019835	4.583758354
0.580834925	-0.699804783	4.568665504
0.567413449	-0.727078557	4.725230217
0.578006268	-0.769074917	4.736618996
0.530265093	-0.677414179	4.689494133
0.540730596	-0.713024259	5.568572998
0.639747858	-0.78882587	5.439147949
0.650096238	-0.810260296	5.49260807
0.625430405	-0.788426757	5.495714188
0.601439595	-0.651671171	5.592531204
0.639207602	-0.648968101	4.48650074
0.619092464	-0.668270946	4.485060692
0.661497533	-0.788115382	4.010998726
0.59019053	-0.638789177	4.516512871
0.573849559	-0.679748416	4.542038918
0.539247394	-0.652142882	4.557133675
0.610393703	-0.752105713	4.572010994
0.615553677	-0.686496019	4.730347633
0.662917078	-0.664032817	4.780089378
0.513522863	-0.675183892	4.972066879
0.212406993	-0.48779273	5.073397636
0.635588109	-0.684955955	4.7060709
0.657040119	-0.675147414	4.741749763
0.652998149	-0.761699557	5.457242012
0.535515845	-0.650583744	5.139264107
0.079109132	-0.561315298	4.989648819
0.593010843	-0.655876756	3.93198204
0.668978572	-0.725170851	3.999951363
0.623790026	-0.69190681	3.96865654
0.578031242	-0.635197401	4.051255226
0.61178875	-0.753026485	3.973023415
0.587730825	-0.661954284	5.113070488
0.618251026	-0.757439971	5.498031616
0.585689962	-0.723284721	5.5412817
0.577825606	-0.76054585	5.547029495
0.692929447	-0.754741311	5.445406914
0.651358545	-0.701265454	4.676098824
